Category,Site,Google Maps,Apple Maps,Comment
Massage/Spa,Calm Massage and Spa (Chiang Mai Gate branch),https://maps.app.goo.gl/WUoGDJdKQiEUPQKo8,,
Massage/Spa,Calm Massage and Spa (Suriwong branch),https://maps.app.goo.gl/2e4e17bN2njUdspg7,,
Massage/Spa,Calm Massage and Spa (Fern Forest branch),https://maps.app.goo.gl/Wjc25tizKm2opWsm9,,
Massage/Spa,Calm Massage and Spa (Somphet Market branch),https://maps.app.goo.gl/uM7o9fEJXHL6nqRJA,,
Massage/Spa,Sense Garden Massage & Spa,https://maps.app.goo.gl/6FpaiKxZB8t9wj9r6,,
Massage/Spa,Sense Massage & Spa Nimman,https://maps.app.goo.gl/Np76QUwQTKfF9dUXA,,
Massage/Spa,Sense Onsen Suandok Wellness & Spa,https://maps.app.goo.gl/4WRxeh4EpnoM4zFS6,,
Massage/Spa,Lila Thai Massage Ratchapakhinai,https://maps.app.goo.gl/UFmY5LrYTC2ucFeq7,,
Massage/Spa,Daydream Sleep Salon (Suriwong),https://maps.app.goo.gl/iC6A9xjRMkKM4Uu19,,
Massage/Spa,Everyday Nails,https://maps.app.goo.gl/iTiTjfg8D8DTUaw58,,
Massage/Spa,"Ferment Space (sauna, ice bath, red light, pool, co-working)",https://maps.app.goo.gl/hxq5ZStqdvvKD4cd8,,
Restaurant,Khao-Sō-i,https://maps.app.goo.gl/cmJ1Rx2DDesFuiq59,,
Restaurant,Greensmoked,https://maps.app.goo.gl/9Y6t2WKAnjV9eRK69,,
Restaurant,Khao Soi Khun Yai,https://maps.app.goo.gl/AomGgvHBVnru1LG37,,
Restaurant,Garden Grove,https://maps.app.goo.gl/cURpKfC9DWNYoFRX7,,
Restaurant,Bacco Gastro Wine Bar,https://maps.app.goo.gl/wuzSMpGNKUSRvvbG6,,
Restaurant,Healthy Junk,https://maps.app.goo.gl/j8KaF5ecC2kZH19z7,,
Restaurant,CRU 2nd Floor Wine Bar,https://maps.app.goo.gl/8jXV8Ua1MX7GuEQh8,,
Restaurant,En Chiangmai,https://maps.app.goo.gl/mhHnRVV3PpGN6JeL7,,
Restaurant,Ksushi CNX,https://maps.app.goo.gl/vdvfYKWcRHydxMQt7,,
Restaurant,Sushi Umai (Nim City),https://maps.app.goo.gl/om4KZKzxBUcU7DvJ8,,
Restaurant,Adirak Pizza (Nim City),https://maps.app.goo.gl/uaJ9M2LFHP17Lyze9,,
Restaurant,Bella Madre Pizza,https://maps.app.goo.gl/oYWmq1k9ndcJX81d8,,
Restaurant,Smash Daddy's Burgers,https://maps.app.goo.gl/4qexdUqfgAiN3DwL7,,
Restaurant,Beast Burger and Pizza,https://maps.app.goo.gl/RfbE7RyLRzWn35cc8,,
Restaurant,Salsa Kitchen,https://maps.app.goo.gl/LQtFrj4YFb6heURY7,,
Restaurant,The Duke's Ping River,https://maps.app.goo.gl/jpytKyaYgFVuaTpF8,,
Restaurant,Cluck Southern Fried Chicken (halal),https://maps.app.goo.gl/a9YVTb6ejNYV2syw7,,
Restaurant,Han The Chinese Cuisine,https://maps.app.goo.gl/vYvaDTyqX7vfZBYx6,,THB 600 all-you-can-eat dumplings lunch
Restaurant,Dinky's BBQ,https://maps.app.goo.gl/oD8eH3BJrLe1y5cXA,,
Restaurant,Oxygen Dining Room,https://maps.app.goo.gl/7y1jsdWJN3giLLY69,,
Restaurant,Chef House CNX,https://maps.app.goo.gl/iUuiTZVDDUY7TNMR8,,
Restaurant,Friend's Table,https://maps.app.goo.gl/ytfDR6tBWbP8xaqL9,,
Coffee,Fern Forest Cafe,https://maps.app.goo.gl/1Cxek6iwEMeKJJ6ZA,,
Coffee,Ozark by Food4Thought,https://maps.app.goo.gl/W7UkBzxGxrsjT7zz7,,
Coffee,Food4Thought (Original Flagship),https://maps.app.goo.gl/a9Cyn9cBNchAUjBz8,,
Coffee,The Moon Eatery,https://maps.app.goo.gl/F1SXAq4mhnRSqVns9,,
Coffee,Elefin Farm & Cafe,https://maps.app.goo.gl/k27dBY9rEZarDSBn6,,
Coffee,Fran's Chiang Mai,https://maps.app.goo.gl/zuvty3tjUZSQ8Xts8,,
